form	def_pos	def_lemma	def_morph	source	UPOS	pos
venúz	VER	venir	_	BFMGOLDLEM	VER	VER
vúil	VER	vouloir	_	LGERM	VER	VER
vús	VER	voir	_	FROLEX	VER	VER
áparút	VERcjg	apparaître	_	FROLEX	VER	VER
ávenú	VER	avenir	_	FROLEX	VER	VER
énnúi	VER	ennuyer	_	FROLEX	VER	VER
óút	VERcjg	ouïr	_	FROLEX	VER	VER
úre	VER	hurer	_	FROLEX	VER	VER
úrent	VER	avoir	_	FROLEX	VER	VER
úverid	VER	ouvrir	_	FROLEX	VER	VER
úvrér	VER	ouvrer	_	FROLEX	VER	VER
úvrír	VER	ouvrir	_	BFMGOLDLEM	VER	VER
úéilles	VER	veiller	_	FROLEX	VER	VER
úés	VER	voir	_	FROLEX	VER	VER
abatuz	VER	abattre	_	BFMGOLDLEM	VER	
destruite	VER	destruire	_	BFMGOLDLEM	VER	
destruit	VER	destruire	_	BFMGOLDLEM	VER	
furent	VER	estre	_	BFMGOLDLEM	VER	
parurent	VERcjg	paroir	_	FROLEX	VER	
out	VERcjg	avoir	_	FROLEX	VER	
out	VERcjg	ouïr	_	FROLEX	VER	
ourent	VERcjg	orer	_	FROLEX	VER	
rechut	VERcjg	rechoir	_	FROLEX	VER	
recunurent	VER	reconnaître	_	FROLEX	VER	
refurent	VERcjg	rêtre	_	FROLEX	VER	
remue	VER	remuer	_	FROLEX	VER	
remue	VER	remüer	_	FROLEX	VER	
remuer	VERinf	remüer	_	FROLEX	VER	
remuer	VERinf	remüer	_	FROLEX	VER	
remue	VERcjg	remüer	_	FROLEX	VER	
parut	VERcjg	paroir	_	FROLEX	VER	
pourent	VERcjg	pouvoir	_	FROLEX	VER	
puis	VER	pöoir	_	FROLEX	VER	
quer	VER	quérir	_	FROLEX	VER	
puis	VERcjg	pöoir	_	FROLEX	VER	
puis	VERcjg	puis	_	FROLEX	VER	
nues	VER	nuer	_	FROLEX	VER	
nués	VER	nuef	_	FROLEX	VER	
nue	VER	nuer	_	FROLEX	VER	
nué	VER	noer	_	FROLEX	VER	
nué	VER	nouer	_	FROLEX	VER	
nué	VER	nuer	_	FROLEX	VER	
nue	VER	nuer	_	FROLEX	VER	
tut	VERcjg	taire	_	FROLEX	VER	
ure	VER	urer	_	FROLEX	VER	
sout	VERcjg	seoir	_	FROLEX	VER	
sout	VERcjg	soudre	_	FROLEX	VER	
sout	VERcjg	souloir	_	FROLEX	VER	
sue	VER	suer	_	FROLEX	VER	
sout	VER	souloir	_	FROLEX	VER	
sout	VER	soudre	_	FROLEX	VER	
sout	VER	seoir	_	FROLEX	VER	
serrunt	VER	estre	_	FROLEX	VER	
serrunt	VER	être	_	FROLEX	VER	
sout	VER	savoir	_	FROLEX	VER	
tue	VERcjg	tuer	_	FROLEX	VER	
tu	VERcjg	taire	_	FROLEX	VER	
tu	VERcjg	tüer	_	FROLEX	VER	
tue	VER	taire	_	FROLEX	VER	
tue	VER	tuer	_	FROLEX	VER	
tu	VER	tüer	_	FROLEX	VER	
sun	VER	être	_	FROLEX	VER	
sun	VERcjg	estre	_	FROLEX	VER	
sun	VERcjg	être	_	FROLEX	VER	
curuciez	VERcjg	curucier	_	FROLEX	VER	
descendue	VERppe	descendre	_	FROLEX	VER	
eisuz	VER	issir	_	FROLEX	VER	
eisud	VER	issir	_	FROLEX	VER	
dui	VER	devoir	_	FROLEX	VER	
dui	VER	dire	_	FROLEX	VER	
dui	VER	duire	_	FROLEX	VER	
dui	VERcjg	deus	_	FROLEX	VER	
dui	VERcjg	devoir	_	FROLEX	VER	
dui	VERcjg	dire	_	FROLEX	VER	
duit	VER	devoir	_	FROLEX	VER	
duit	VER	duire	_	FROLEX	VER	
duit	VERppe	devoir	_	FROLEX	VER	
duit	VERppe	duire	_	FROLEX	VER	
dui	VERcjg	duire	_	FROLEX	VER	
aparut	VERcjg	apparoir	_	FROLEX	VER	
aparut	VERcjg	apparoir	_	FROLEX	VER	
avenu	VERppe	avenir	_	FROLEX	VER	
cuillir	VER	cueillir	_	FROLEX	VER	
cuilir	VER	clore	_	FROLEX	VER	
cuilir	VER	cueillir	_	FROLEX	VER	
bues	VER	buer	_	FROLEX	VER	
