form	lemma_def	pos	type	src_mot
bosoignous	besogneux	adjectif	qualificatif	
bossues	bossu	adjectif	qualificatif	
boulenoiz	bolonais	adjectif	qualificatif	
bouns	bon	adjectif	qualificatif	
bourgois	bourgeois	adjectif	qualificatif	
bourguygnons	bourguignon	adjectif	qualificatif	
bregoignons	bourguignon	adjectif	qualificatif	
brehaingne	brehaing	adjectif	qualificatif	
bríefs	bref	adjectif	qualificatif	
briefves	bref	adjectif	qualificatif	
brioiz	briois	adjectif	qualificatif	
broçonneuses	brochonneux	adjectif	qualificatif	
brutz	brut	adjectif	qualificatif	
burlee	burelé	adjectif	qualificatif	
burlée	burelé	adjectif	qualificatif	
burus	buire	adjectif	qualificatif	
burus	brun	adjectif	qualificatif	
busuinable	besognable	adjectif	qualificatif	
busunnus	buissonneux	adjectif	qualificatif	
çal	sauf	adjectif	qualificatif	
çal	chaud	adjectif	qualificatif	
çal	caut	adjectif	qualificatif	
camble	semble	adjectif	qualificatif	
camble	gemble	adjectif	qualificatif	
cardinalx	cardinal	adjectif	qualificatif	
carens	carent	adjectif	qualificatif	
carnals	charnel	adjectif	qualificatif	
carniaus	charnel	adjectif	qualificatif	
cars	quart	adjectif	qualificatif	
carus	carent	adjectif	qualificatif	
caste	chaste	adjectif	qualificatif	
catalan	catalan	adjectif	qualificatif	
catholica	catholique	adjectif	qualificatif	
cault	caut	adjectif	qualificatif	
caultes	caut	adjectif	qualificatif	
céleste	céleste	adjectif	qualificatif	
celestial	célestiel	adjectif	qualificatif	
celestielle	célestiel	adjectif	qualificatif	
celestielles	célestiel	adjectif	qualificatif	
celestielz	célestiel	adjectif	qualificatif	
celine	celin	adjectif	qualificatif	
cendreus	cendreux	adjectif	qualificatif	
certainnes	certain	adjectif	qualificatif	
certan	certain	adjectif	qualificatif	
certeines	certain	adjectif	qualificatif	
certeyn	certain	adjectif	qualificatif	
chaiers	cher	adjectif	qualificatif	
chaiers	gaiet	adjectif	qualificatif	
cháitifs	chétif	adjectif	qualificatif	
chaitífs	chétif	adjectif	qualificatif	
champanoys	champenois	adjectif	qualificatif	
