form	lemma_def	pos	type	feats	src_mot
aagiés	âger	VERppe	participe passe	_	
aaisiers	aaiser	VERinf	infinitif	_	
aaisiers	aiser	VERinf	infinitif	_	
aaisse	aaiser	VERcjg	conjugue	_	
aaisse	ardre	VERcjg	conjugue	_	
aaisse	être	VERcjg	conjugue	_	
aaisse	haïr	VERcjg	conjugue	_	
aaisse	issir	VERcjg	conjugue	_	
aaroient	arer	VERcjg	conjugue	_	
aaroient	avoir	VERcjg	conjugue	_	
aasiéz	aaiser	VERppe	participe passe	_	
aasiéz	aiser	VERppe	participe passe	_	
aasiéz	âger	VERppe	participe passe	_	
aaste	ester	VERcjg	conjugue	_	
aaste	hâter	VERcjg	conjugue	_	
aaste	aatir	VERcjg	conjugue	_	
aaste	ardre	VERcjg	conjugue	_	
aaste	avoir	VERcjg	conjugue	_	
aatisoit	attiser	VERcjg	conjugue	_	
aatisoit	aatir	VERcjg	conjugue	_	
abacuth	abattre	VERppe	participe passe	_	
abacuth	abaisser	VERppe	participe passe	_	
abaissed	abaisser	VERcjg	conjugue	_	
abaissee	abaisser	VERppe	participe passe	_	
abaissiés	abaisser	VERppe	participe passe	_	
abandonna	abandonner	VERcjg	conjugue	VerbForm=Fin	
abandonnassent	abandonner	VERcjg	conjugue	_	
abandonnast	abandonner	VERcjg	conjugue	VerbForm=Fin	
abandonnastes	abandonner	VERcjg	conjugue	VerbForm=Fin	
abandonne	abandonner	VERcjg	conjugue	_	
abandonnée	abandonner	VERppe	participe passe	_	
abandonner	abandonner	VERinf	infinitif	_	
abandonnerent	abandonner	VERcjg	conjugue	VerbForm=Fin	
abandonneroit	abandonner	VERcjg	conjugue	_	
abandonnés	abandonner	VERppe	participe passe		
abandonnés	abandonner	VERcjg	conjugue		
abandonnez	abandonner	VERppe	participe passe	_	
abandonnéz	abandonner	VERppe	participe passe	_	
abandunad	abandonner	VERcjg	conjugue	_	
abandune	abandonner	VERcjg	conjugue	_	
abandunent	abandonner	VERcjg	conjugue	VerbForm=Fin	
abandunet	abandonner	VERcjg	conjugue	VerbForm=Fin	
abaptre	abattre	VERcjg	conjugue	_	
abaterái	abattre	VERcjg	conjugue	_	
abatid	abattre	VERcjg	conjugue	_	
abatíd	abattre	VERcjg	conjugue	_	
abatied	abattre	VERcjg	conjugue	VerbForm=Fin	
abatier	abaisser	VERinf	infinitif	_	
abatiet	abaisser	VERcjg	conjugue	_	
abatírent	abattre	VERcjg	conjugue	_	
abatit	abattre	VERcjg	conjugue	_	
ábatre	abattre	VERinf	infinitif	_	
abatreit	abattre	VERcjg	conjugue	VerbForm=Fin	
abattre	abattre	VERinf	infinitif	_	
abatud	abattre	VERppe	participe passe	_	
abaty	abattre	VERppe	participe passe	_	
abaubiz	abaubir	VERppe	participe passe	_	
abbaie	aboyer	VERcjg	conjugue	_	
abbatus	abattre	VERppe	participe passe	_	
abbaye	aboyer	VERppe	participe passe	_	
abbaye	abéer	VERppe	participe passe	_	
abbayé	aboyer	VERppe	participe passe	_	
abbayez	aboyer	VERcjg	conjugue	_	
abbregier	abréger	VERinf	infinitif	_	
abeissa	abaisser	VERcjg	conjugue	VerbForm=Fin	
abeisse	abaisser	VERcjg	conjugue	VerbForm=Fin	
abelli	abellir	VERcjg	conjugue	_	
abesser	abaisser	VERinf	infinitif	_	
abessoit	abaisser	VERcjg	conjugue	_	
abestira	abêtir	VERcjg	conjugue	_	
abestist	abêtir	VERcjg	conjugue	_	
abestiz	abêtir	VERppe	participe passe	_	
abeuvrer	abreuver	VERinf	infinitif	_	
abevrot	abreuver	VERcjg	conjugue	_	
abillee	habiller	VERppe	participe passe	_	
abillees	habiller	VERppe	participe passe	_	
abisá	aviser	VERppe	participe passe	_	
abituees	habituer	VERppe	participe passe	_	
abituez	habituer	VERcjg	conjugue	_	
aboier	aboyer	VERinf	infinitif	_	
abosmés	abosmer	VERppe	participe passe	VerbForm=Part|Tense=Past	
abrahant	abrier	VERppa	ppa	_	
abrahant	avoir	VERppa	ppa	_	
abrégent	abréger	VERcjg	conjugue	_	
abrégier	abréger	VERinf	infinitif	_	
abregoit	abréger	VERcjg	conjugue	_	
abreuve	abreuver	VERcjg	conjugue	_	
abruver	abreuver	VERinf	infinitif	_	
absconséz	absconser	VERcjg	conjugue	_	
absoille	absoudre	VERcjg	conjugue	VerbForm=Fin	
absoloit	absoudre	VERcjg	conjugue	VerbForm=Fin	
absols	absoudre	VERcjg	conjugue	VerbForm=Fin	
absolut	absoudre	VERppe	participe passe	_	
absoubdre	absoudre	VERinf	infinitif	_	
absouldre	absoudre	VERinf	infinitif	_	
abstient	abstenir	VERcjg	conjugue	_	
abusee	abuser	VERppe	participe passe	_	
abutinay	abutiner	VERcjg	conjugue	_	
abyndone	abandonner	VERcjg	conjugue	_	
acachoit	achasser	VERcjg	conjugue	_	
acatés	acheter	VERppe	participe passe	_	
acatet	acheter	VERppe	participe passe		
acatet	acheter	VERcjg	conjugue		
acatrons	acheter	VERcjg	conjugue	VerbForm=Fin	
accatee	acheter	VERppe	participe passe	_	
accatoient	acheter	VERcjg	conjugue	_	
acceptee	accepter	VERppe	participe passe	_	
acchetasmes	acheter	VERcjg	conjugue	_	
acchetasmes	acquêter	VERcjg	conjugue	_	
accointer	accointer	VERcjg	conjugue	_	
accointes	accointer	VERppe	participe passe	_	
accollant	accoler	VERppa	ppa	_	
accolle	accoler	VERcjg	conjugue	_	
accoller	accoler	VERinf	infinitif	_	
accompaigna	accompagner	VERcjg	conjugue	_	
accompaignee	accompagner	VERppe	participe passe	_	
accompaigner	accompagner	VERinf	infinitif	_	
accompaignéz	accompagner	VERppe	participe passe	_	
accompaignié	accompagner	VERppe	participe passe	_	
accompaignier	accompagner	VERinf	infinitif	VerbForm=Inf	
accompaignoyent	accompagner	VERcjg	conjugue	_	
accompli	accomplir	VERppe	participe passe	_	
accomplir	accomplir	VERinf	infinitif	_	
accomplit	accomplir	VERcjg	conjugue	_	
acconstumeit	accoutumer	VERppe	participe passe	VerbForm=Part|Tense=Past	
accorda	accorder	VERcjg	conjugue	_	
accordast	accorder	VERcjg	conjugue	_	
accorde	accorder	VERcjg	conjugue	_	
accordees	accorder	VERppe	participe passe	_	
accordées	accorder	VERppe	participe passe	_	
accordent	accorder	VERcjg	conjugue	_	
accordera	accorder	VERcjg	conjugue	_	
accorderent	accorder	VERcjg	conjugue	VerbForm=Fin	
accorderoit	accorder	VERcjg	conjugue	_	
accordés	accorder	VERppe	participe passe	_	
accordez	accorder	VERppe	participe passe	VerbForm=Part|Tense=Past	
accordons	accorder	VERcjg	conjugue	VerbForm=Fin	
accort	accorder	VERcjg	conjugue	_	
accoudee	accouder	VERppe	participe passe	_	
accourt	accourir	VERcjg	conjugue	_	
accoururent	accourir	VERcjg	conjugue	_	
accoustrée	accoutrer	VERppe	participe passe	_	
accoustréz	accoutrer	VERppe	participe passe	_	
accoustume	accoutumer	VERppe	participe passe	_	
accoustumés	accoutumer	VERppe	participe passe	_	
accoutuméz	accoutumer	VERppe	participe passe	_	
accroistre	accroître	VERinf	infinitif	_	
accroître	accroître	VERcjg	conjugue	_	
accueillez	accueillir	VERcjg	conjugue	_	
accusa	accuser	VERcjg	conjugue	_	
accusé	accuser	VERppe	participe passe	VerbForm=Part|Tense=Past	
accusee	accuser	VERppe	participe passe	_	
accusees	accuser	VERcjg	conjugue	_	
accuseit	accuser	VERcjg	conjugue	_	
accuseit	encuser	VERcjg	conjugue	_	
accusent	accuser	VERcjg	conjugue	_	
accuser	accuser	VERinf	infinitif	_	
accuser	encuser	VERinf	infinitif	_	
accusés	accuser	VERppe	participe passe	_	
accusez	accuser	VERcjg	conjugue	_	
aceine	assener	VERcjg	conjugue	_	
acertainé	acertener	VERppe	participe passe	_	
acesmée	acesmer	VERppe	participe passe	_	
achaisenus	assaisonner	VERppe	participe passe	_	
achaptee	acheter	VERppe	participe passe	_	
achaptoit	acheter	VERcjg	conjugue	_	
achatad	acheter	VERcjg	conjugue	_	
áchatassent	acheter	VERcjg	conjugue	_	
achatássent	acheter	VERcjg	conjugue	_	
achatat	acheter	VERppe	participe passe	_	
achaterés	acheter	VERcjg	conjugue	_	
achatés	acheter	VERppe	participe passe	_	
achatestes	acheter	VERcjg	conjugue	_	
achatéz	acheter	VERppe	participe passe	_	
achattant	acheter	VERppa	ppa	_	
acház	acheter	VERppe	participe passe	_	
ácház	acheter	VERcjg	conjugue	_	
achazie	assasier	VERppe	participe passe	_	
achazie	achasser	VERppe	participe passe	_	
achazíe	assasier	VERcjg	conjugue	_	
achazíe	essayer	VERcjg	conjugue	_	
achazies	achasser	VERppe	participe passe	_	
achazies	assasier	VERppe	participe passe	_	
acheminay	acheminer	VERcjg	conjugue	_	
achemynèrent	acheminer	VERcjg	conjugue	_	
acheptés	acheter	VERppe	participe passe	_	
achesmerent	acesmer	VERcjg	conjugue	_	
achetrez	acheter	VERppe	participe passe	_	
achettés	acheter	VERppe	participe passe	_	
achevyr	assevir	VERcjg	conjugue	_	
achiever	achever	VERinf	infinitif	_	
acoeillent	accueillir	VERcjg	conjugue	VerbForm=Fin	
acoille	accueillir	VERcjg	conjugue	_	
acoillent	accueillir	VERcjg	conjugue	_	
acoilles	accueillir	VERcjg	conjugue	_	
acoilloient	accueillir	VERcjg	conjugue	_	
acointastez	accointer	VERcjg	conjugue	_	
acoleir	accoler	VERinf	infinitif	_	
acoléz	accoler	VERppe	participe passe	_	
acolle	accoler	VERcjg	conjugue	_	
acompagnee	accompagner	VERppe	participe passe	_	
acompaigner	accompagner	VERinf	infinitif	_	
acompaignerent	accompagner	VERcjg	conjugue	_	
acompaignies	accompagner	VERppe	participe passe	_	
acompaingnie	accompagner	VERcjg	conjugue	_	
acompaingniés	accompagner	VERcjg	conjugue	_	
acomparagie	accomparager	VERppe	participe passe	_	
acomplez	accomplir	VERppe	participe passe	_	
acomplieroye	accomplir	VERcjg	conjugue	_	
acompliray	accomplir	VERcjg	conjugue	_	
acompte	acompter	VERcjg	conjugue	_	
aconitane	aconnoistre	VERcjg	conjugue	_	
aconpaingnes	accompagner	VERppe	participe passe	_	
aconplie	accomplir	VERppe	participe passe	_	
aconsivra	aconsuivre	VERcjg	conjugue	_	
aconsivront	aconsuivre	VERcjg	conjugue	_	
aconstumat	accoutumer	VERcjg	conjugue	_	
aconstumeie	accoutumer	VERppe	participe passe	_	
aconstumeit	accoutumer	VERppe	participe passe	VerbForm=Part|Tense=Past	
aconsurent	aconsuivre	VERcjg	conjugue	_	
acontees	acompter	VERppe	participe passe	_	
acontées	acompter	VERppe	participe passe	_	
aconurent	aconnoistre	VERcjg	conjugue	VerbForm=Fin	
acordait	accorder	VERcjg	conjugue	_	
acordase	accorder	VERcjg	conjugue	_	
acordeer	accorder	VERinf	infinitif	_	
acordeez	accorder	VERppe	participe passe	_	
acordés	accorder	VERcjg	conjugue	_	
acordissiez	accorder	VERppe	participe passe	_	
acordissiez	assourdir	VERppe	participe passe	_	
acordissiez	assortir	VERppe	participe passe	_	
acorot	acorer	VERcjg	conjugue	_	
acorurent	accourir	VERcjg	conjugue	_	
acouchee	accoucher	VERppe	participe passe	_	
acoudez	accouder	VERppe	participe passe	_	
acoudez	accoter	VERppe	participe passe	_	
acoudez	absoudre	VERppe	participe passe	_	
acoudez	accorder	VERppe	participe passe	_	
acoulant	accoler	VERppa	ppa	_	
acoulant	absoudre	VERppa	ppa	_	
acoumenie	acommunier	VERcjg	conjugue	_	
acountra	acompter	VERcjg	conjugue	_	
acountra	accointer	VERcjg	conjugue	_	
acoureurent	accourir	VERcjg	conjugue	_	
acouri	accourir	VERppe	participe passe	_	
acouroient	accourir	VERcjg	conjugue	VerbForm=Fin	
acouroit	accourir	VERcjg	conjugue	_	
acouroit	acorer	VERcjg	conjugue	_	
acourons	acorer	VERcjg	conjugue	_	
acourons	accourir	VERcjg	conjugue	_	
acourons	assurer	VERcjg	conjugue	_	
acourons	écorer	VERcjg	conjugue	_	
acouru	accourir	VERppe	participe passe	_	
acoururent	accourir	VERcjg	conjugue	VerbForm=Fin	
acoustumée	accoutumer	VERppe	participe passe	_	
acoustumés	accoutumer	VERppe	participe passe	_	
acoutés	accoter	VERppe	participe passe	_	
acoutés	accouder	VERppe	participe passe	_	
acqueillent	accueillir	VERcjg	conjugue	_	
acqueroient	acquérir	VERcjg	conjugue	_	
acqueroit	acquérir	VERcjg	conjugue	_	
acquerre	acquérir	VERinf	infinitif	_	
acquerroit	acquérir	VERcjg	conjugue	_	
acquerront	acquérir	VERcjg	conjugue	_	
acquester	acquêter	VERinf	infinitif	_	
acquier	acquérir	VERinf	infinitif	_	
acquiere	acquérir	VERcjg	conjugue	_	
acquierent	acquérir	VERcjg	conjugue	_	
acquièrent	acquérir	VERcjg	conjugue	_	
acquiers	acquérir	VERcjg	conjugue	_	
acquiert	acquérir	VERcjg	conjugue	_	
acquirent	acquérir	VERcjg	conjugue	_	
acquise	acquérir	VERppe	participe passe	_	
acquises	acquérir	VERcjg	conjugue	_	
acquist	acquérir	VERcjg	conjugue	VerbForm=Fin	
acquit	acquérir	VERcjg	conjugue	_	
acquita	acquitter	VERcjg	conjugue	_	
acquite	acquitter	VERcjg	conjugue	_	
acquitee	acquitter	VERppe	participe passe	_	
acquiterent	acquitter	VERcjg	conjugue	VerbForm=Fin	
acquitez	acquitter	VERppe	participe passe	_	
acquitié	acquitter	VERppe	participe passe	_	
acquittant	acquitter	VERcjg	conjugue	_	
acquitter	acquitter	VERinf	infinitif	_	
acquittés	acquitter	VERcjg	conjugue	_	
acquittez	acquitter	VERppe	participe passe	_	
acquittier	acquitter	VERinf	infinitif	_	
acquittiés	acquitter	VERcjg	conjugue	_	
acquittiez	acquitter	VERppe	participe passe	_	
acquittoient	acquitter	VERcjg	conjugue	_	
acquittoit	acquitter	VERcjg	conjugue	VerbForm=Fin	
acquiz	acquérir	VERppe	participe passe	_	
acravanter	acravanter	VERinf	infinitif	_	
acraventet	acravanter	VERcjg	conjugue	VerbForm=Fin	
acreissad	accroire	VERcjg	conjugue	_	
acreissad	accroître	VERcjg	conjugue	_	
acreist	accroître	VERcjg	conjugue	_	
acreistereit	accroître	VERcjg	conjugue	_	
acreistereit	encroître	VERcjg	conjugue	_	
ácréistre	accroître	VERcjg	conjugue	_	
ácréistre	encroître	VERcjg	conjugue	_	
acrestre	accroître	VERcjg	conjugue	_	
acreü	accroire	VERppe	participe passe	VerbForm=Part|Tense=Past	
acreut	accroître	VERcjg	conjugue	_	
acroche	accrocher	VERcjg	conjugue	_	
acroie	accroire	VERcjg	conjugue	VerbForm=Fin	
acroissent	accroître	VERcjg	conjugue	_	
acroissoit	accroître	VERcjg	conjugue	VerbForm=Fin	
acroist	accroire	VERcjg	conjugue	_	
acroist	accroître	VERcjg	conjugue	VerbForm=Fin	
acroist	accroître	VERcjg	conjugue	_	
acroit	accroire	VERcjg	conjugue	VerbForm=Fin	
acrut	accroire	VERcjg	conjugue	_	
actaint	atteindre	VERinf	infinitif	_	
actemptas	attenter	VERcjg	conjugue	_	
actempté	attenter	VERppe	participe passe	_	
actend	attendre	VERppa	ppa	_	
actendent	attendre	VERcjg	conjugue	_	
actendez	attendre	VERcjg	conjugue	_	
actendoit	attendre	VERcjg	conjugue	_	
actendrez	attendre	VERppe	participe passe	_	
actendroye	attendre	VERcjg	conjugue	_	
actendu	attendre	VERppe	participe passe	_	
actens	attendre	VERcjg	conjugue	_	
actraire	attraire	VERinf	infinitif	_	
actrempee	attemprer	VERppe	participe passe	_	
acueill	accueillir	VERcjg	conjugue	_	
acuellent	accueillir	VERcjg	conjugue	VerbForm=Fin	
acuelli	accueillir	VERcjg	conjugue	_	
acuelliez	accueillir	VERcjg	conjugue	_	
acuelliez	accoler	VERcjg	conjugue	_	
acuillent	accueillir	VERcjg	conjugue	_	
acuillirent	accueillir	VERcjg	conjugue	_	
acuilly	accueillir	VERppe	participe passe	_	
áculche	accoucher	VERcjg	conjugue	_	
acumpaigna	accompagner	VERcjg	conjugue	_	
acumpaignierent	accompagner	VERppe	participe passe	_	
acumpli	accomplir	VERppe	participe passe	_	
ácumpli	accomplir	VERcjg	conjugue	_	
acumplíd	accomplir	VERppe	participe passe	_	
acumplirez	accomplir	VERppe	participe passe	_	
ácunte	acompter	VERcjg	conjugue	_	
acuntéd	acompter	VERppe	participe passe	_	
acuntét	acompter	VERppe	participe passe	_	
acuntum	acompter	VERcjg	conjugue	_	
acuplérent	accoupler	VERcjg	conjugue	_	
acupléz	accoupler	VERppe	participe passe	_	
acuragéé	acourager	VERppe	participe passe	_	
acuragéé	encourager	VERppe	participe passe	_	
acuragéément	acourager	VERcjg	conjugue	_	
acuragiez	acourager	VERcjg	conjugue	_	
acuragiez	encourager	VERcjg	conjugue	_	
ácuréit	acorer	VERcjg	conjugue	_	
ácuréit	accourir	VERcjg	conjugue	_	
acururent	accourir	VERcjg	conjugue	_	
acururent	accroire	VERcjg	conjugue	_	
acusat	accuser	VERcjg	conjugue	_	
acusat	aiguiser	VERcjg	conjugue	_	
acusés	accuser	VERppe	participe passe	_	
acustomee	accoutumer	VERppe	participe passe	_	
acustomez	accoutumer	VERppe	participe passe	_	
acustomez	accoter	VERppe	participe passe	_	
acustomez	accouder	VERppe	participe passe	_	
acustomez	acompter	VERppe	participe passe	_	
acustomez	ajuster	VERppe	participe passe	_	
acustomez	écouter	VERppe	participe passe	_	
acustumerent	accoutumer	VERcjg	conjugue	VerbForm=Fin	
ácustumez	accoutumer	VERppe	participe passe	_	
acuylli	accueillir	VERcjg	conjugue	_	
adcertené	acertener	VERppe	participe passe	_	
adcertenez	acertener	VERcjg	conjugue	_	
adebonnairir	adébonairir	VERinf	infinitif	_	
adeiset	adeser	VERcjg	conjugue	VerbForm=Fin	
adeist	adeser	VERcjg	conjugue	VerbForm=Fin	
ademplirai	aemplir	VERcjg	conjugue	VerbForm=Fin	
aderans	adhérer	VERppa	ppa	_	
adercent	adresser	VERcjg	conjugue	_	
adercent	adresser	VERcjg	conjugue	VerbForm=Fin	
adersoit	adresser	VERcjg	conjugue	_	
adersoit	adeser	VERcjg	conjugue	_	
adersoit	aerdre	VERcjg	conjugue	_	
ádetid	abêtir	VERcjg	conjugue	_	
adgar	agarder	VERinf	infinitif	_	
adhérans	adhérer	VERppe	participe passe	_	
adherens	adhérer	VERppe	participe passe	_	
adherer	adhérer	VERinf	infinitif	_	
adirés	adirer	VERppe	participe passe	_	
ádirez	adirer	VERcjg	conjugue	_	
ádirez	aider	VERcjg	conjugue	_	
ádirez	dire	VERcjg	conjugue	_	
adiue	aider	VERcjg	conjugue	VerbForm=Fin	
adjoins	adjoindre	VERppe	participe passe	_	
adjorné	ajourner	VERppe	participe passe	_	
adjourna	ajourner	VERcjg	conjugue	_	
adjourne	ajourner	VERppe	participe passe	_	
adjourner	ajourner	VERinf	infinitif	_	
adjousté	ajouter	VERppe	participe passe	_	
adjoustee	ajouter	VERppe	participe passe	_	
adjoustees	ajouter	VERppe	participe passe	_	
adjousteroit	ajouter	VERcjg	conjugue	_	
adjoustoit	ajouter	VERppe	participe passe	_	
adjouteray	ajouter	VERppe	participe passe	_	
adjouxtent	ajouter	VERcjg	conjugue	_	
adjuga	adjuger	VERppe	participe passe	_	
adjuge	adjuger	VERcjg	conjugue	_	
adjugerent	adjuger	VERcjg	conjugue	_	
adjugié	adjuger	VERppe	participe passe	VerbForm=Part|Tense=Past	
adjugiée	adjuger	VERppe	participe passe	VerbForm=Part|Tense=Past	
admena	amener	VERcjg	conjugue	_	
admenast	amener	VERcjg	conjugue	_	
admené	amener	VERppe	participe passe	VerbForm=Part|Tense=Past	
admenee	amener	VERppe	participe passe	_	
admener	amener	VERinf	infinitif	VerbForm=Inf	
admenerent	amener	VERcjg	conjugue	_	
admenez	amener	VERcjg	conjugue	_	
admenoit	amener	VERcjg	conjugue	_	
administera	administrer	VERcjg	conjugue	_	
administrée	administrer	VERcjg	conjugue	_	
administrés	administrer	VERcjg	conjugue	_	
admissi	aimer	VERcjg	conjugue	_	
admonesta	admonester	VERcjg	conjugue	_	
admoneste	admonester	VERcjg	conjugue	_	
admonnesta	admonester	VERcjg	conjugue	_	
admonnestant	admonester	VERppa	ppa	_	
admonneste	admonester	VERcjg	conjugue	_	
admonnesté	admonester	VERppe	participe passe	_	
admonnestent	admonester	VERcjg	conjugue	_	
admonnestoient	admonester	VERcjg	conjugue	_	
admonnestoit	admonester	VERcjg	conjugue	_	
admounesta	admonester	VERcjg	conjugue	_	
admounestoit	admonester	VERcjg	conjugue	_	
adnonçoit	annoncer	VERcjg	conjugue	_	
adnullant	annuler	VERppe	participe passe	_	
adoist	adeser	VERcjg	conjugue	VerbForm=Fin	
adolés	adouler	VERppe	participe passe	VerbForm=Part|Tense=Past	
adollé	adouler	VERppe	participe passe	_	
adommagèrent	adommager	VERcjg	conjugue	_	
adommagié	adommager	VERppe	participe passe	_	
adommagièrent	adommager	VERcjg	conjugue	_	
adonné	adonner	VERppe	participe passe	_	
adonner	adonner	VERinf	infinitif	_	
adoubée	adouber	VERppe	participe passe	_	
adoubéz	adouber	VERppe	participe passe	_	
adouce	adoucer	VERcjg	conjugue	_	
adoucissoit	adoucir	VERcjg	conjugue	_	
adoucist	adoucir	VERcjg	conjugue	_	
adoulcir	adoucir	VERinf	infinitif	_	
adoulcisse	adoucir	VERcjg	conjugue	_	
adourer	adorer	VERinf	infinitif	_	
adrecees	adresser	VERppe	participe passe	_	
adrecèrent	adresser	VERcjg	conjugue	_	
adrechié	adresser	VERppe	participe passe	_	
adrechier	adresser	VERinf	infinitif	_	
adrécied	adresser	VERcjg	conjugue	_	
ádrecier	adresser	VERinf	infinitif	_	
adreçoyent	adresser	VERcjg	conjugue	_	
adresaunt	adresser	VERcjg	conjugue	_	
adresça	adresser	VERcjg	conjugue	_	
adresce	adresser	VERcjg	conjugue	_	
adresce	adresse	VERcjg	conjugue		
adresce	adresser	VERcjg	conjugue	VerbForm=Fin	
adrescer	adresser	VERinf	infinitif	_	
adressa	adresser	VERcjg	conjugue	_	
adressasmes	adresser	VERcjg	conjugue	_	
adressat	adresser	VERcjg	conjugue	_	
adressay	adresser	VERcjg	conjugue	_	
adresse	adresser	VERppe	participe passe	_	
adresser	adresser	VERinf	infinitif	_	
adresseroit	adresser	VERcjg	conjugue	_	
adressoit	adresser	VERcjg	conjugue	_	
adrians	abrier	VERppa	ppa	_	
adubba	adouber	VERcjg	conjugue	_	
adubet	adouber	VERcjg	conjugue	VerbForm=Fin	
adunad	aduner	VERcjg	conjugue	_	
adunad	adonner	VERcjg	conjugue	_	
adunad	ataïner	VERcjg	conjugue	VerbForm=Fin	
adunat	aduner	VERcjg	conjugue	VerbForm=Fin	
adunouent	aduner	VERcjg	conjugue	_	
adunouent	aduner	VERcjg	conjugue	VerbForm=Fin	
adunouent	adonner	VERcjg	conjugue	_	
adurci	adurcir	VERppe	participe passe	_	
adurcy	adurcir	VERppe	participe passe	_	
advendra	advenir	VERcjg	conjugue	_	
advendroit	advenir	VERcjg	conjugue	_	
advenoient	advenir	VERcjg	conjugue	_	
advenoit	advenir	VERcjg	conjugue	_	
adventurer	aventurer	VERinf	infinitif	_	
advenue	advenir	VERppe	participe passe	_	
advertis	avertir	VERppe	participe passe	_	
advertissoient	avertir	VERcjg	conjugue	_	
adverturer	avertir	VERinf	infinitif	_	
adviendra	advenir	VERcjg	conjugue	_	
adviengne	advenir	VERcjg	conjugue	_	
adviennent	advenir	VERcjg	conjugue	_	
advindrent	advenir	VERcjg	conjugue	_	
advironnée	avironner	VERppe	participe passe	_	
advironnés	avironner	VERppe	participe passe	_	
advisa	aviser	VERcjg	conjugue	VerbForm=Fin	
advisay	aviser	VERppe	participe passe	_	
advise	aviser	VERcjg	conjugue	_	
advisee	aviser	VERppe	participe passe	_	
advisée	aviser	VERppe	participe passe	_	
adviserent	aviser	VERcjg	conjugue	_	
advisés	aviser	VERppe	participe passe	_	
advisez	aviser	VERppe	participe passe	_	
advisié	aviser	VERppe	participe passe	_	
advisons	aviser	VERcjg	conjugue	_	
advocat	avoquer	VERcjg	conjugue	_	
advoquée	avoquer	VERppe	participe passe	_	
advoua	avouer	VERcjg	conjugue	_	
advouer	avouer	VERinf	infinitif	_	
aedwine	aviner	VERcjg	conjugue	_	
aeisent	aaiser	VERcjg	conjugue	VerbForm=Fin	
aemplies	aemplir	VERppe	participe passe	_	
aemplies	emplir	VERppe	participe passe	_	
aemplies	employer	VERppe	participe passe	_	
aemplies	empler	VERppe	participe passe	_	
aemplirai	aemplir	VERcjg	conjugue	_	
aemplirai	emplir	VERcjg	conjugue	_	
aemplirai	aemplir	VERcjg	conjugue	VerbForm=Fin	
aemplirai	employer	VERcjg	conjugue	_	
aemplit	aemplir	VERcjg	conjugue	_	
aemplit	emplir	VERcjg	conjugue	_	
aemplit	aemplir	VERcjg	conjugue	VerbForm=Fin	
aerdent	aerdre	VERcjg	conjugue	VerbForm=Fin	
aerdi	aerdre	VERcjg	conjugue	_	
aerdirent	aerdre	VERcjg	conjugue	VerbForm=Fin	
aërdre	aerdre	VERppe	participe passe	_	
aërse	aerdre	VERppe	participe passe	_	
aersist	aerdre	VERcjg	conjugue	_	
aerst	aerdre	VERcjg	conjugue	VerbForm=Fin	
aesa	aaiser	VERcjg	conjugue	_	
aesiers	aaiser	VERppe	participe passe	_	
aesiers	aiser	VERppe	participe passe	_	
aesmeuet	émouvoir	VERppe	participe passe	_	
aeure	aorer	VERcjg	conjugue	VerbForm=Fin	
aëz	haïr	VERcjg	conjugue	_	
afaitad	affaiter	VERcjg	conjugue	VerbForm=Fin	
afaiterent	affaiter	VERcjg	conjugue	VerbForm=Fin	
afaitie	affaiter	VERppe	participe passe	_	
afermed	affermer	VERcjg	conjugue	_	
afermed	affirmer	VERcjg	conjugue	_	
aferméd	affermer	VERppe	participe passe	_	
aferméés	affermer	VERppe	participe passe	_	
aferméés	affirmer	VERppe	participe passe	_	
afermét	affermer	VERppe	participe passe	_	
áfermez	affermer	VERcjg	conjugue	_	
aferméz	affermer	VERppe	participe passe	_	
aferméz	affirmer	VERppe	participe passe	_	
afert	afférir	VERppe	participe passe	_	
afetié	affaiter	VERppe	participe passe	_	
afetier	affaiter	VERinf	infinitif	_	
affaictez	affaiter	VERppe	participe passe	_	
affaitié	affaiter	VERppe	participe passe	_	
affaitié	affecter	VERppe	participe passe	_	
affebli	affaiblir	VERppe	participe passe	VerbForm=Part|Tense=Past	
affectee	affecter	VERppe	participe passe	_	
affelonni	afelonir	VERppe	participe passe	_	
affermanz	affermer	VERppa	ppa	_	
affermast	affermer	VERcjg	conjugue	_	
affermast	affirmer	VERcjg	conjugue	_	
affermées	affermer	VERcjg	conjugue	_	
affermées	affermer	VERppe	participe passe	_	
afferment	affermer	VERcjg	conjugue	_	
afferment	affirmer	VERcjg	conjugue	_	
affermerent	affermer	VERcjg	conjugue	VerbForm=Fin	
affermes	affermer	VERcjg	conjugue	VerbForm=Fin	
affermés	affermer	VERppe	participe passe	_	
affermés	affirmer	VERppe	participe passe	_	
affermoies	affermer	VERcjg	conjugue	_	
affermoit	affermer	VERcjg	conjugue	_	
affermoit	affirmer	VERcjg	conjugue	_	
afferoit	afférir	VERcjg	conjugue	_	
affetardir	afétardir	VERinf	infinitif	_	
affichiez	afficher	VERppe	participe passe	_	
affie	affier	VERcjg	conjugue	_	
affïer	affier	VERinf	infinitif	_	
affiere	afférir	VERcjg	conjugue	_	
affierent	affier	VERcjg	conjugue	_	
affierent	afférir	VERcjg	conjugue	_	
affinez	affiner	VERppe	participe passe	_	
affirmoit	affirmer	VERcjg	conjugue	_	
afflites	afflire	VERppe	participe passe	_	
affliz	afflire	VERppe	participe passe	VerbForm=Part|Tense=Past	
