form	lemma_def	pos	src_mot
Baltalt	Bathilde	NOMpro	
Barbeflué	Barfleur	NOMpro	
Barnabé	Barnabé	NOMpro	
Barthelemi	Barthelemi	NOMpro	
Barthelemi	Barthélémy	NOMpro	
Bartholomee	Bartholomé	NOMpro	
Bartholomer	Bartholomé	NOMpro	
Bartholomeu	Bartholomé	NOMpro	
Baruth	Beyrouth	NOMpro	
Bassee	Bassée	NOMpro	
Baudoïn	Baudouin	NOMpro	
Baudricourt	Baudricourt	NOMpro	
Baudrin	Baudrain	NOMpro	
Bauduin	Baudouin	NOMpro	
Bauduins	Baudouin	NOMpro	
Baufremont	Baufremont	NOMpro	
Bayone	Bayonne	NOMpro	
Bayonne	Bayonne	NOMpro	
Beaufort	Beaufort	NOMpro	
Beaugieu	Beaujeu	NOMpro	
Beaujeu	Beaujeu	NOMpro	
Beaujeulaiz	Beaujolais	NOMpro	
Beaumanoir	Beaumanoir	NOMpro	
Beaune	Beaune	NOMpro	
Beausse	Beauce	NOMpro	
Beauvais	Beauvais	NOMpro	
Beauval	Beauval	NOMpro	
Beauvés	Beauvais	NOMpro	
Beauvez	Beauvais	NOMpro	
Beauvoir	Beauvoir	NOMpro	
Beauvoisins	Beauvoisin	NOMpro	
Becket	Becket	NOMpro	
Belleville	Belleville	NOMpro	
Benedic	Benedic	NOMpro	
Berard	Berard	NOMpro	
Berich	Berich	NOMpro	
Bernars	Bernard	NOMpro	
Berry	Berry	NOMpro	
Berthe	Berthe	NOMpro	
Berthelemi	Barthélémy	NOMpro	
Bertrand	Bertrand	NOMpro	
Bertrans	Bertrand	NOMpro	
Besançon	Besançon	NOMpro	
Besanson	Besançon	NOMpro	
Besgue	Besgue	NOMpro	
Bethanie	Béthanie	NOMpro	
Bethél	Bethél	NOMpro	
Bethfort	Betford	NOMpro	
Bethfort	Bedfort	NOMpro	
Bethleant	Béthléem	NOMpro	
Béthune	Béthune	NOMpro	
Biauvais	Beauvais	NOMpro	
Bigorre	Bigorre	NOMpro	
Biscaye	Biscay	NOMpro	
Biscaye	Biscaye	NOMpro	
Bithynie	Bithynie	NOMpro	
Bizet	Bizet	NOMpro	
Blainville	Blainville	NOMpro	
Blaivies	Blaivies	NOMpro	
Blanchandrins	Blancandrin	NOMpro	
Blanchefort	Blanchefort	NOMpro	
Blanchevile	Blanchevile	NOMpro	
Blanmont	Blamont	NOMpro	
Blanville	Blainville	NOMpro	
Blanville	Blanville	NOMpro	
Blaunchevile	Blaunchevile	NOMpro	
Blaye	Blaye	NOMpro	
Bloyez	Blois	NOMpro	
Boccus	Bocus	NOMpro	
Boece	Boece	NOMpro	
Boëce	Boece	NOMpro	
Boeces	Boece	NOMpro	
Boóz	Booz	NOMpro	
Borbon	Bourbon	NOMpro	
Bordeaux	Bordeaux	NOMpro	
Bordiax	Bordeaux	NOMpro	
Borgoingne	Bourgogne	NOMpro	
Bormont	Vourmont	NOMpro	
Bormont	Baumont	NOMpro	
Bornonville	Bournonville	NOMpro	
Bornonville	Bornonville	NOMpro	
Bouchars	Bouchart	NOMpro	
Bouchart	Bouchard	NOMpro	
Bouciquault	Boucicault	NOMpro	
Bouciquault	Boucicaut	NOMpro	
Bouciquaut	Boucicaut	NOMpro	
Bouloigne	Boulogne	NOMpro	
Bourbon	Bourbon	NOMpro	
Bourdeaulx	Bordeaux	NOMpro	
Bourges	Bourges	NOMpro	
Bourgez	Bourges	NOMpro	
Bourgoigne	Bourgogne	NOMpro	
Bourgoingne	Bourgogne	NOMpro	
Bourgongne	Bourgogne	NOMpro	
Bourgougne	Bourgogne	NOMpro	
Bourgougne	Bourgougne	NOMpro	
Braban	Braban	NOMpro	
Braban	Brabant	NOMpro	
Braiban	Brabant	NOMpro	
Braibant	Brabant	NOMpro	
Breban	Brabant	NOMpro	
Breszé	Brézé	NOMpro	
Bretaine	Bretagne	NOMpro	
Bretaygne	Bretagne	NOMpro	
Breteigne	Bretagne	NOMpro	
Bretigny	Brétigny	NOMpro	
Brezé	Brézé	NOMpro	
Brice	Brice	NOMpro	
Brien	Brian	NOMpro	
Briens	Brian	NOMpro	
Brienz	Brian	NOMpro	
Briou	Briou	NOMpro	
Bruti	Brutus	NOMpro	
Brutus	Brutus	NOMpro	
Bueil	Bueil	NOMpro	
Bueves	Bueves	NOMpro	
Buevon	Buevon	NOMpro	
Buluine	Boulogne	NOMpro	
Burdeles	Bordeaux	NOMpro	
Burguine	Bourgogne	NOMpro	
Bussy	Bussy	NOMpro	
Cabrieres	Cabrieres	NOMpro	
Cadillac	Cadillac	NOMpro	
Cadmus	Cadmus	NOMpro	
Cador	Cador	NOMpro	
