form	lemma_def	pos	genre	src_mot	nombre
administrateurs	administrateur	NOMcom	masc		sg|pl
administration	administration	NOMcom	fem		sg
administratores	administrateur	NOMcom	masc		sg|pl
administratores	administratoire	NOMcom	masc		sg|pl
admiracion	admiration	NOMcom	fem		sg
admirail	amiral	NOMcom	masc		sg|pl
admiral	amiral	NOMcom	masc		sg|pl
admirals	amiral	NOMcom	masc		sg|pl
admiraux	amiral	NOMcom	masc		sg|pl
admiz	ami	NOMcom			pl-fem|sg-masc|pl-masc
admiz	amict	NOMcom	masc		sg|pl
admonnestement	admonestement	NOMcom	masc		sg|pl
admortissement	amortissement	NOMcom	masc		sg|pl
admounestemens	admonestement	NOMcom	masc		sg|pl
admyrals	amiral	NOMcom	masc		sg|pl
ado	adoub	NOMcom	masc	addo	sg|pl
adoisement	adesement	NOMcom	masc		sg|pl
adoisement	adossement	NOMcom	masc		sg|pl
adoisement	ataisement	NOMcom	masc		sg|pl
adoisement	attisement	NOMcom	masc		sg|pl
adolescens	adolescent	NOMcom			pl-fem|sg-masc|pl-masc
adonaÿ	adonaï	NOMcom	masc		sg|pl
adournement	adornement	NOMcom	masc		sg|pl
adresce	adresse	NOMcom	fem		sg
adrescement	adressement	NOMcom	masc		sg|pl
adrécement	abrégement	NOMcom	masc		sg|pl
adrécement	adressement	NOMcom	masc		sg|pl
adulations	adulation	NOMcom	fem		pl
adultères	adultère	NOMcom			pl-fem|sg-masc|pl-masc
advancement	avancement	NOMcom	masc		sg|pl
advantaige	avantage	NOMcom	masc		sg|pl
advarice	avarice	NOMcom	fem		sg
advenement	avènement	NOMcom	masc		sg|pl
advent	avent	NOMcom	masc		sg|pl
adventaige	avantage	NOMcom	masc		sg|pl
adventure	aventure	NOMcom	fem		sg
adventures	aventure	NOMcom	fem		pl
advenues	avenue	NOMcom	fem	advenues	pl
adversaire	adversaire	NOMcom			
adversaires	adversaire	NOMcom		adversaires	pl-fem|sg-masc|pl-masc
adversiteez	adversité	NOMcom	fem		sg
adversitez	adversité	NOMcom	fem		sg
advertissemens	avertissement	NOMcom	masc		sg|pl
advertissement	avertissement	NOMcom	masc		sg|pl
adveu	aveu	NOMcom	masc		sg|pl
advisemens	avisement	NOMcom	masc		sg|pl
adviz	avis	NOMcom	masc		sg|pl
