	form_bfm	flp	lemma_bfm	cattex	feats_bfm	lemma_src	file_src_bfm	fl	fp
0	tractié	tractié_traité_noun	traité	NOMcom	_	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	tractié_traité	tractié_noun
1	resplandissanz	resplandissanz_resplendissant_adj	resplendissant	ADJqua	_	DMF	SEustPr1	resplandissanz_resplendissant	resplandissanz_adj
2	loüm	loüm_louer_verb	louer	VERcjg	VerbForm=Fin	DMF	cambps	loüm_louer	loüm_verb
3	Lambiert	lambiert_lambert_propn	Lambert	NOMpro	_	DMF	chartes_hain13	lambiert_lambert	lambiert_propn
4	feisanz	feisanz_faisan_noun	faisan	NOMcom	_	DECT	CharretteKu, PercevalKu	feisanz_faisan	feisanz_noun
5	sali	sali_saillir_verb	saillir	VERcjg	VerbForm=Fin	DMF	aucassin	sali_saillir	sali_verb
6	mercet	mercet_merci_noun	merci	NOMcom	_	DMF	passion	mercet_merci	mercet_noun
7	sorleueiz	sorleueiz_surlever_verb	surlever	VERppe	VerbForm=Part|Tense=Past	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	sorleueiz_surlever	sorleueiz_verb
8	ribault	ribault_ribaud_noun	ribaud	NOMcom	_	no_source	Jouvencel1_manual-seg_pos_lem	ribault_ribaud	ribault_noun
9	Esture	esture_esture_propn	Esture	NOMpro	_	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	esture_esture	esture_propn
10	Bourbonnoys	bourbonnoys_bourbonnais_propn	Bourbonnais	NOMpro	_	no_source	commyn1_manual_seg_lemm	bourbonnoys_bourbonnais	bourbonnoys_propn
11	prestat	prestat_prêter_verb	prêter	VERcjg	VerbForm=Fin	DMF	chartes_hain13	prestat_prêter	prestat_verb
12	conissanz	conissanz_connaître_verb	connaître	VERppa	VerbForm=Part|Tense=Pres	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	conissanz_connaître	conissanz_verb
13	remenrons	remenrons_remanoir_verb	remanoir	VERcjg	VerbForm=Fin	DECT	YvainKu	remenrons_remanoir	remenrons_verb
14	enbrunket	enbrunket_embroncher_verb	embroncher	VERcjg	VerbForm=Fin	DMF	roland	enbrunket_embroncher	enbrunket_verb
15	pensée	pensée_pensée_noun	pensée	NOMcom	_	no_source	Jouvencel1_manual-seg_pos_lem	pensée_pensée	pensée_noun
16	mand	mand_mander_verb	mander	VERcjg	VerbForm=Fin	DMF	roland	mand_mander	mand_verb
17	Chimay	chimay_chimay_propn	Chimay	NOMpro	_	no_source	commyn1_manual_seg_lemm	chimay_chimay	chimay_propn
18	ofrande	ofrande_ofrende_noun	ofrende	NOMcom	_	DECT	ErecKu	ofrande_ofrende	ofrande_noun
19	ebaldissent	ebaldissent_ébaudir_verb	ébaudir	VERcjg	VerbForm=Fin	DMF	roland	ebaldissent_ébaudir	ebaldissent_verb
20	enprisone	enprisone_emprisoner_verb	emprisoner	VERcjg	VerbForm=Fin	DECT	CharretteKu	enprisone_emprisoner	enprisone_verb
21	pleisant	pleisant_plaire_verb	plaire	VERppa	VerbForm=Part|Tense=Pres	DECT	CharretteKu, PercevalKu	pleisant_plaire	pleisant_verb
22	Mirebaut	mirebaut_mirebeau_propn	Mirebeau	NOMpro	_	DMF	regcrim1-cat	mirebaut_mirebeau	mirebaut_propn
23	ausquelz	ausquelz_à.lequel_adp.pron	à.lequel	PRE.PROrel	_.PronType=Rel	no_source	Jouvencel1_manual-seg_pos_lem	ausquelz_à.lequel	ausquelz_adp.pron
24	inimitié	inimitié_inimitié_noun	inimitié	NOMcom	_	no_source	commyn1_manual_seg_lemm	inimitié_inimitié	inimitié_noun
25	buillit	buillit_bouillir_verb	bouillir	VERcjg	VerbForm=Fin	DMF	roland	buillit_bouillir	buillit_verb
26	xxie	xxie_vingt-et-unième_adj	vingt-et-unième	ADJord	NumType=Ord	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	xxie_vingt-et-unième	xxie_adj
27	vax	vax_val_noun	val	NOMcom	_	DECT	CharretteKu, CligesKu, ErecKu	vax_val	vax_noun
28	morras	morras_morir_verb	morir	VERcjg	VerbForm=Fin	DECT	CharretteKu, ErecKu	morras_morir	morras_verb
29	morras	morras_mourir_verb	mourir	VERcjg	VerbForm=Fin	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	morras_mourir	morras_verb
30	anseing	anseing_enseing_noun	enseing	NOMcom	_	DECT	PercevalKu	anseing_enseing	anseing_noun
31	suzciteains	suzciteains_soscitëain_noun	soscitëain	NOMcom	_	TL	cambps	suzciteains_soscitëain	suzciteains_noun
32	abandonnast	abandonnast_abandonner_verb	abandonner	VERcjg	VerbForm=Fin	DMF	SBath1	abandonnast_abandonner	abandonnast_verb
33	embussemens	embussemens_embûchement_noun	embûchement	NOMcom	_	DMF	moree-cat	embussemens_embûchement	embussemens_noun
34	Pompeianus	pompeianus_pompeïanus_propn	Pompeïanus	NOMpro	_	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	pompeianus_pompeïanus	pompeianus_propn
35	apansse	apansse_apenser_verb	apenser	VERcjg	VerbForm=Fin	DECT	PercevalKu, YvainKu	apansse_apenser	apansse_verb
36	vestoit	vestoit_vestir_verb	vestir	VERcjg	VerbForm=Fin	DECT	PercevalKu	vestoit_vestir	vestoit_verb
37	recomance	recomance_recomencier_verb	recomencier	VERcjg	VerbForm=Fin	DECT	CligesKu, PercevalKu	recomance_recomencier	recomance_verb
38	chevos	chevos_chevel_noun	chevel	NOMcom	_	DECT	CharretteKu	chevos_chevel	chevos_noun
39	avene	avene_avoine_noun	avoine	NOMcom	_	DMF	regcrim1-cat	avene_avoine	avene_noun
40	riroit	riroit_raller_verb	raller	VERcjg	VerbForm=Fin	DMF	SBath1	riroit_raller	riroit_verb
41	riroit	riroit_rire_verb	rire	VERcjg	VerbForm=Fin	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	riroit_rire	riroit_verb
42	instructions	instructions_instruction_noun	instruction	NOMcom	_	no_source	commyn1_manual_seg_lemm	instructions_instruction	instructions_noun
43	aparissoit	aparissoit_apparoir_verb	apparoir	VERcjg	VerbForm=Fin	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	aparissoit_apparoir	aparissoit_verb
44	testieres	testieres_testiere_noun	testiere	NOMcom	_	DECT	PercevalKu	testieres_testiere	testieres_noun
45	delaissemens	delaissemens_délaissement_noun	délaissement	NOMcom	_	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	delaissemens_délaissement	delaissemens_noun
46	impetuosité	impetuosité_impétuosité_noun	impétuosité	NOMcom	_	no_source	Jouvencel1_manual-seg_pos_lem	impetuosité_impétuosité	impetuosité_noun
47	adveu	adveu_aveu_noun	aveu	NOMcom	_	no_source	commyn1_manual_seg_lemm	adveu_aveu	adveu_noun
48	eskiele	eskiele_échelle_noun	échelle	NOMcom	_	DMF	SBath1	eskiele_échelle	eskiele_noun
49	bleciés	bleciés_blesser_verb	blesser	VERppe	VerbForm=Part|Tense=Past	DMF	aucassin	bleciés_blesser	bleciés_verb
50	ocioies	ocioies_ocire_verb	ocire	VERcjg	VerbForm=Fin	DECT	ErecKu	ocioies_ocire	ocioies_verb
51	ensieuvant	ensieuvant_ensuivre_verb	ensuivre	VERppa	VerbForm=Part|Tense=Pres	no_source	Jouvencel1_manual-seg_pos_lem	ensieuvant_ensuivre	ensieuvant_verb
52	doubla	doubla_doubler_verb	doubler	VERcjg	VerbForm=Fin	no_source	Jouvencel1_manual-seg_pos_lem	doubla_doubler	doubla_verb
53	conuertiz	conuertiz_convertir_verb	convertir	VERppe	VerbForm=Part|Tense=Past	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	conuertiz_convertir	conuertiz_verb
54	apperçeu	apperçeu_apercevoir_verb	apercevoir	VERcjg	VerbForm=Fin	no_source	Jouvencel1_manual-seg_pos_lem	apperçeu_apercevoir	apperçeu_verb
55	retaigne	retaigne_retenir_verb	retenir	VERcjg	VerbForm=Fin	DECT	PercevalKu	retaigne_retenir	retaigne_verb
56	destraigne	destraigne_destreindre_verb	destreindre	VERcjg	VerbForm=Fin	DMF	chartes_hain13	destraigne_destreindre	destraigne_verb
57	issiez	issiez_issir_verb	issir	VERcjg	VerbForm=Fin	DECT	CligesKu, ErecKu	issiez_issir	issiez_verb
58	anquierent	anquierent_enquerre_verb	enquerre	VERcjg	VerbForm=Fin	DECT	CligesKu	anquierent_enquerre	anquierent_verb
59	veneisun	veneisun_venaison_noun	venaison	NOMcom	_	DMF, no_source	brut2, DescrEngl_fixed.tsv	veneisun_venaison	veneisun_noun
60	creeit	creeit_créer_verb	créer	VERppe	VerbForm=Part|Tense=Past	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	creeit_créer	creeit_verb
61	morrez	morrez_morir_verb	morir	VERcjg	VerbForm=Fin	DECT	CligesKu	morrez_morir	morrez_verb
62	asalirent	asalirent_assaillir_verb	assaillir	VERcjg	VerbForm=Fin	DMF	aucassin	asalirent_assaillir	asalirent_verb
63	desclairées	desclairées_déclarer_verb	déclarer	VERppe	VerbForm=Part|Tense=Past	DMF	regcrim1-cat	desclairées_déclarer	desclairées_verb
64	suëf	suëf_souef_adv	souef	ADVgen	_	DMF	AlexisRaM	suëf_souef	suëf_adv
65	muèrent	muèrent_muer_verb	muer	VERcjg	VerbForm=Fin	no_source	commyn1_manual_seg_lemm	muèrent_muer	muèrent_verb
66	azit	azit_acète_noun	acète	NOMcom	_	DMF	passion	azit_acète	azit_noun
67	verssai	verssai_verser_verb	verser	VERcjg	VerbForm=Fin	DECT	YvainKu	verssai_verser	verssai_verb
68	seisira	seisira_saisir_verb	saisir	VERcjg	VerbForm=Fin	DECT	YvainKu	seisira_saisir	seisira_verb
69	Flores	flores_flores_propn	Flores	NOMpro	_	DMF	chartes_hain13	flores_flores	flores_propn
70	maldie	maldie_maudire_verb	maudire	VERcjg	VerbForm=Fin	DMF	roland	maldie_maudire	maldie_verb
71	roünde	roünde_rond_adj	rond	ADJqua	_	DMF	brut2	roünde_rond	roünde_adj
72	rainseaus	rainseaus_rinceau_noun	rinceau	NOMcom	_	DMF	SEustPr1	rainseaus_rinceau	rainseaus_noun
73	obeissoient	obeissoient_obéir_verb	obéir	VERcjg	VerbForm=Fin	no_source, DMF	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem, SBath1	obeissoient_obéir	obeissoient_verb
74	ennura	ennura_honorer_verb	honorer	VERcjg	VerbForm=Fin	DMF	brut2	ennura_honorer	ennura_verb
75	ameiez	ameiez_amer_verb	amer	VERcjg	VerbForm=Fin	DECT	ErecKu	ameiez_amer	ameiez_verb
76	anlace	anlace_enlacier_verb	enlacier	VERcjg	VerbForm=Fin	DECT	CharretteKu	anlace_enlacier	anlace_verb
77	podestad	podestad_poësté_noun	poësté	NOMcom	_	DMF	passion	podestad_poësté	podestad_noun
78	appart	appart_à+part__	à+part	PRE+NOMcom	_	no_source	Jouvencel1_manual-seg_pos_lem	appart_à+part	appart_
79	loyaulment	loyaulment_loyalement_adv	loyalement	ADVgen	_	DMF	moree-cat	loyaulment_loyalement	loyaulment_adv
80	gardeit	gardeit_garder_verb	garder	VERppe	VerbForm=Part|Tense=Past	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	gardeit_garder	gardeit_verb
81	mesurat	mesurat_mesurer_verb	mesurer	VERcjg	VerbForm=Fin	DMF	cambps	mesurat_mesurer	mesurat_verb
82	parzon	parzon_parçon_noun	parçon	NOMcom	_	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	parzon_parçon	parzon_noun
83	aparailla	aparailla_appareiller_verb	appareiller	VERcjg	VerbForm=Fin	DMF	brut2	aparailla_appareiller	aparailla_verb
84	irat	irat_aller_verb	aller	VERcjg	VerbForm=Fin	DMF	cambps, roland	irat_aller	irat_verb
85	francise	francise_franchise_noun	franchise	NOMcom	_	DMF	moree-cat	francise_franchise	francise_noun
86	enorguillissent	enorguillissent_enorgueillir_verb	enorgueillir	VERcjg	VerbForm=Fin	DMF	cambps	enorguillissent_enorgueillir	enorguillissent_verb
87	aparceüst	aparceüst_apercevoir_verb	apercevoir	VERcjg	VerbForm=Fin	DMF, DECT	brut2, CligesKu, ErecKu	aparceüst_apercevoir	aparceüst_verb
88	fiançusement	fiançusement_fïançosement_adv	fïançosement	ADVgen	_	TL	cambps	fiançusement_fïançosement	fiançusement_adv
89	Ay	ay_ay_propn	Ay	NOMpro	_	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	ay_ay	ay_propn
90	turbées	turbées_turber_verb	turber	VERppe	VerbForm=Part|Tense=Past	DMF	cambps	turbées_turber	turbées_verb
91	attachée	attachée_attacher_verb	attacher	VERppe	VerbForm=Part|Tense=Past	no_source	commyn1_manual_seg_lemm	attachée_attacher	attachée_verb
92	église	église_église_noun	église	NOMcom	_	DMF	regcrim1-cat	église_église	église_noun
93	uaisselez	uaisselez_vaisseau_noun	vaisseau	NOMcom	_	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	uaisselez_vaisseau	uaisselez_noun
94	aguez	aguez_aguet_noun	aguet	NOMcom	_	DMF	SEustPr1	aguez_aguet	aguez_noun
95	Watiers	watiers_watier_propn	Watier	NOMpro	_	DMF	chartes_hain13	watiers_watier	watiers_propn
96	enseueliz	enseueliz_ensevelir_verb	ensevelir	VERppe	VerbForm=Part|Tense=Past	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	enseueliz_ensevelir	enseueliz_verb
97	amenéz	amenéz_amener_verb	amener	VERppe	VerbForm=Part|Tense=Past	no_source, DMF	commyn1_manual_seg_lemm, SGenPr1	amenéz_amener	amenéz_verb
98	lavéz	lavéz_laver_verb	laver	VERppe	VerbForm=Part|Tense=Past	DMF	SGenPr1	lavéz_laver	lavéz_verb
99	equinecial	equinecial_équinoxial_adj	équinoxial	ADJqua	_	no_source	Jouvencel1_manual-seg_pos_lem	equinecial_équinoxial	equinecial_adj
100	porrisse	porrisse_porrir_verb	porrir	VERcjg	VerbForm=Fin	DECT	PercevalKu	porrisse_porrir	porrisse_verb
101	connoissoient	connoissoient_connaître_verb	connaître	VERcjg	VerbForm=Fin	DMF	SGenPr1	connoissoient_connaître	connoissoient_verb
102	parfondeur	parfondeur_parfondeur_noun	parfondeur	NOMcom	_	no_source	Jouvencel1_manual-seg_pos_lem	parfondeur_parfondeur	parfondeur_noun
103	requialt	requialt_recoillir_verb	recoillir	VERcjg	VerbForm=Fin	DECT	CharretteKu, CligesKu, YvainKu	requialt_recoillir	requialt_verb
104	quasimodo	quasimodo_quasimodo_noun	quasimodo	NOMcom	_	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	quasimodo_quasimodo	quasimodo_noun
105	amanra	amanra_amener_verb	amener	VERcjg	VerbForm=Fin	DECT	CharretteKu, CligesKu, ErecKu, PercevalKu	amanra_amener	amanra_verb
106	boqueranz	boqueranz_boquerant_noun	boquerant	NOMcom	_	DECT	ErecKu	boqueranz_boquerant	boqueranz_noun
107	Beauvoisins	beauvoisins_beauvoisin_propn	Beauvoisin	NOMpro	_	DMF	regcrim1-cat	beauvoisins_beauvoisin	beauvoisins_propn
108	Severins	severins_sévère_propn	Sévère	NOMpro	_	DMF	SGenPr1	severins_sévère	severins_propn
109	unziesme	unziesme_onzième_adj	onzième	ADJord	NumType=Ord	no_source	commyn1_manual_seg_lemm	unziesme_onzième	unziesme_adj
110	Arragonnois	arragonnois_aragonais_propn	Aragonais	NOMpro	_	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	arragonnois_aragonais	arragonnois_propn
111	desevret	desevret_dessevrer_verb	dessevrer	VERcjg	VerbForm=Fin	DMF	roland	desevret_dessevrer	desevret_verb
112	esclicent	esclicent_esclicier_verb	esclicier	VERcjg	VerbForm=Fin	DECT	CligesKu, ErecKu, YvainKu	esclicent_esclicier	esclicent_verb
113	sopiranz	sopiranz_sospirer_verb	sospirer	VERppa	VerbForm=Part|Tense=Pres	DECT	CharretteKu	sopiranz_sospirer	sopiranz_verb
114	Wautiers	wautiers_gaucher_propn	Gaucher	NOMpro	_	DMF	chartes_hain13	wautiers_gaucher	wautiers_propn
115	admena	admena_amener_verb	amener	VERcjg	VerbForm=Fin	no_source	commyn1_manual_seg_lemm	admena_amener	admena_verb
116	entrevindrent	entrevindrent_entrevenir_verb	entrevenir	VERcjg	VerbForm=Fin	DMF	brut2	entrevindrent_entrevenir	entrevindrent_verb
117	luitié	luitié_luitier_verb	luitier	VERppe	VerbForm=Part|Tense=Past	DECT	CharretteKu	luitié_luitier	luitié_verb
118	desconfirent	desconfirent_déconfire_verb	déconfire	VERcjg	VerbForm=Fin	no_source, DMF	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem, moree-cat	desconfirent_déconfire	desconfirent_verb
119	revandrons	revandrons_revenir_verb	revenir	VERcjg	VerbForm=Fin	DECT	CharretteKu, PercevalKu	revandrons_revenir	revandrons_verb
120	estinz	estinz_éteindre_verb	éteindre	VERppe	VerbForm=Part|Tense=Past	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	estinz_éteindre	estinz_verb
121	sonbre	sonbre_sombre_noun	sombre	NOMcom	_	DECT	CharretteKu	sonbre_sombre	sonbre_noun
122	privéz	privéz_privé_noun	privé	NOMcom	_	no_source	commyn1_manual_seg_lemm	privéz_privé	privéz_noun
123	Odenehan	odenehan_audrehem_propn	Audrehem	NOMpro	_	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	odenehan_audrehem	odenehan_propn
124	assamblerent	assamblerent_assembler_verb	assembler	VERcjg	VerbForm=Fin	DMF	SBath1	assamblerent_assembler	assamblerent_verb
125	defendet	defendet_défendre_verb	défendre	VERcjg	VerbForm=Fin	DMF	roland	defendet_défendre	defendet_verb
126	pardoint	pardoint_pardoner_verb	pardoner	VERcjg	VerbForm=Fin	DECT	PercevalKu, YvainKu	pardoint_pardoner	pardoint_verb
127	pardoint	pardoint_pardonner_verb	pardonner	VERcjg	VerbForm=Fin	DMF	moree-cat	pardoint_pardonner	pardoint_verb
128	serviroiz	serviroiz_servir_verb	servir	VERcjg	VerbForm=Fin	DMF	SGenPr1	serviroiz_servir	serviroiz_verb
129	nune	nune_nonne_noun	nonne	NOMcom	_	DMF	brut2	nune_nonne	nune_noun
130	apartenist	apartenist_apartenir_verb	apartenir	VERcjg	VerbForm=Fin	DECT	CharretteKu	apartenist_apartenir	apartenist_verb
131	Talbot	talbot_talbot_propn	Talbot	NOMpro	_	no_source	commyn1_manual_seg_lemm, Jouvencel1_manual-seg_pos_lem	talbot_talbot	talbot_propn
132	cyprez	cyprez_cyprès_noun	cyprès	NOMcom	_	no_source	Jouvencel1_manual-seg_pos_lem	cyprez_cyprès	cyprez_noun
133	rattiffia	rattiffia_ratifier_verb	ratifier	VERcjg	VerbForm=Fin	DMF	regcrim1-cat	rattiffia_ratifier	rattiffia_verb
134	estote	estote_estout_adj	estout	ADJqua	_	DECT	PercevalKu	estote_estout	estote_adj
135	uioleir	uioleir_violer_verb	violer	VERinf	VerbForm=Inf	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	uioleir_violer	uioleir_verb
136	desevrout	desevrout_dessevrer_verb	dessevrer	VERcjg	VerbForm=Fin	DMF	cambps	desevrout_dessevrer	desevrout_verb
137	anprunté	anprunté_emprunter_verb	emprunter	VERppe	VerbForm=Part|Tense=Past	DECT	CharretteKu	anprunté_emprunter	anprunté_verb
138	mainteigne	mainteigne_maintenir_verb	maintenir	VERcjg	VerbForm=Fin	DECT	CligesKu, PercevalKu, YvainKu	mainteigne_maintenir	mainteigne_verb
139	appelée	appelée_appeler_verb	appeler	VERppe	VerbForm=Part|Tense=Past	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	appelée_appeler	appelée_verb
140	lavees	lavees_laver_verb	laver	VERppe	VerbForm=Part|Tense=Past	DECT	ErecKu	lavees_laver	lavees_verb
141	Somme	somme_somme_propn	Somme	NOMpro	_	no_source	commyn1_manual_seg_lemm	somme_somme	somme_propn
142	deuoreir	deuoreir_dévorer_verb	dévorer	VERinf	VerbForm=Inf	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	deuoreir_dévorer	deuoreir_verb
143	criat	criat_crier_verb	crier	VERcjg	VerbForm=Fin	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	criat_crier	criat_verb
144	criat	criat_créer_verb	créer	VERcjg	VerbForm=Fin	DMF	cambps	criat_créer	criat_verb
145	desservy	desservy_desservir_verb	desservir	VERppe	VerbForm=Part|Tense=Past	no_source	Jouvencel1_manual-seg_pos_lem	desservy_desservir	desservy_verb
146	asalent	asalent_assaillir_verb	assaillir	VERcjg	VerbForm=Fin	DMF	aucassin	asalent_assaillir	asalent_verb
147	.vi.	.vi._@card@_pron	@card@	PROcar	NumType=Card	no_source	DescrEngl_fixed.tsv	.vi._@card@	.vi._pron
148	.vi.	.vi._@card@_adj	@card@	ADJcar	NumType=Card	no_source	DescrEngl_fixed.tsv	.vi._@card@	.vi._adj
149	.vi.	.vi._sis_pron	sis	PROcar	NumType=Card	DECT	CligesKu, YvainKu	.vi._sis	.vi._pron
150	.vi.	.vi._sis_det	sis	DETcar	NumType=Card	DECT	CharretteKu, ErecKu, PercevalKu, YvainKu	.vi._sis	.vi._det
151	.vi.	.vi._six_det	six	DETcar	NumType=Card	DMF	roland	.vi._six	.vi._det
152	.vi.	.vi._six_pron	six	PROcar	NumType=Card	DMF	roland	.vi._six	.vi._pron
153	iniquiteiz	iniquiteiz_iniquité_noun	iniquité	NOMcom	_	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	iniquiteiz_iniquité	iniquiteiz_noun
154	teneient	teneient_tenir_verb	tenir	VERcjg	VerbForm=Fin	DMF	brut2	teneient_tenir	teneient_verb
155	tolit	tolit_tolir_verb	tolir	VERcjg	VerbForm=Fin	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv, roland	tolit_tolir	tolit_verb
156	suefre	suefre_sofrir_verb	sofrir	VERcjg	VerbForm=Fin	DECT	CharretteKu, PercevalKu	suefre_sofrir	suefre_verb
157	Breibançon	breibançon_brabançon_propn	Brabançon	NOMpro	_	DECT	CharretteKu	breibançon_brabançon	breibançon_propn
158	desquels	desquels_de.lequel_adp.pron	de.lequel	PRE.PROrel	_.PronType=Rel	DMF	cambps	desquels_de.lequel	desquels_adp.pron
159	anvoise	anvoise_envoisier_verb	envoisier	VERcjg	VerbForm=Fin	DECT	CligesKu, YvainKu	anvoise_envoisier	anvoise_verb
160	Bertranz	bertranz_bertran_propn	Bertran	NOMpro	_	DECT	CligesKu	bertranz_bertran	bertranz_propn
161	Bertranz	bertranz_bertrant_propn	Bertrant	NOMpro	_	DECT	PercevalKu	bertranz_bertrant	bertranz_propn
162	uinst	uinst_oindre_verb	oindre	VERcjg	VerbForm=Fin	DMF	cambps	uinst_oindre	uinst_verb
163	Foulliers	foulliers_foullières_propn	Foullières	NOMpro	_	no_source	Jouvencel1_manual-seg_pos_lem	foulliers_foullières	foulliers_propn
164	istrons	istrons_issir_verb	issir	VERcjg	VerbForm=Fin	DECT	YvainKu	istrons_issir	istrons_verb
165	reïst	reïst_rire_verb	rire	VERcjg	VerbForm=Fin	DECT	CligesKu	reïst_rire	reïst_verb
166	viers	viers_vers_adp	vers	PRE	_	DMF	chartes_hain13	viers_vers	viers_adp
167	eritet	eritet_hérité_noun	hérité	NOMcom	_	DMF	cambps	eritet_hérité	eritet_noun
168	venqui	venqui_vaincre_verb	vaincre	VERcjg	VerbForm=Fin	DMF	brut2	venqui_vaincre	venqui_verb
169	conseilét	conseilét_conseiller_verb	conseiller	VERppe	VerbForm=Part|Tense=Past	DMF	AlexisRaM	conseilét_conseiller	conseilét_verb
170	afebloient	afebloient_afebliier_verb	afebliier	VERcjg	VerbForm=Fin	DECT	ErecKu	afebloient_afebliier	afebloient_verb
171	siedent	siedent_seoir_verb	seoir	VERcjg	VerbForm=Fin	DMF	roland	siedent_seoir	siedent_verb
172	hommaiges	hommaiges_hommage_noun	hommage	NOMcom	_	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem	hommaiges_hommage	hommaiges_noun
173	bannière	bannière_bannière_noun	bannière	NOMcom	_	no_source	commyn1_manual_seg_lemm	bannière_bannière	bannière_noun
174	Paulum	paulum_paul_propn	Paul	NOMpro	_	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	paulum_paul	paulum_propn
175	meruilhouses	meruilhouses_merveilleux_adj	merveilleux	ADJqua	_	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	meruilhouses_merveilleux	meruilhouses_adj
176	ovrirent	ovrirent_ovrir_verb	ovrir	VERcjg	VerbForm=Fin	DECT	PercevalKu	ovrirent_ovrir	ovrirent_verb
177	milliu	milliu_milieu_noun	milieu	NOMcom	_	DMF	cambps	milliu_milieu	milliu_noun
178	soustenoit	soustenoit_soutenir_verb	soutenir	VERcjg	VerbForm=Fin	no_source, DMF	commyn1_manual_seg_lemm, SBath1	soustenoit_soutenir	soustenoit_verb
179	regardanz	regardanz_regarder_verb	regarder	VERppa	VerbForm=Part|Tense=Pres	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	regardanz_regarder	regardanz_verb
180	zachariae	zachariae_zacharias_x	zacharias	ETR	Foreign=Yes	DMF	cambps	zachariae_zacharias	zachariae_x
181	entretissues	entretissues_entretistre_verb	entretistre	VERppe	VerbForm=Part|Tense=Past	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	entretissues_entretistre	entretissues_verb
182	Williaume	williaume_guillaume_propn	Guillaume	NOMpro	_	DMF	chartes_hain13	williaume_guillaume	williaume_propn
183	vieillesse	vieillesse_vieillesse_noun	vieillesse	NOMcom	_	no_source	commyn1_manual_seg_lemm, Jouvencel1_manual-seg_pos_lem	vieillesse_vieillesse	vieillesse_noun
184	ocieient	ocieient_no_lem_x	no_lem	OUT	_	DMF	brut2	ocieient_no_lem	ocieient_x
185	quidiés	quidiés_cuider_verb	cuider	VERcjg	VerbForm=Fin	DMF	aucassin	quidiés_cuider	quidiés_verb
186	Erchenoalx	erchenoalx_erchinoald_propn	Erchinoald	NOMpro	_	DMF	SBath1	erchenoalx_erchinoald	erchenoalx_propn
187	Maroie	maroie_marie_propn	Marie	NOMpro	_	DMF	chartes_hain13	maroie_marie	maroie_propn
188	Aquine	aquine_aquin_propn	Aquin	NOMpro	_	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	aquine_aquin	aquine_propn
189	recrerrunt	recrerrunt_recroire_verb	recroire	VERcjg	VerbForm=Fin	DMF	roland	recrerrunt_recroire	recrerrunt_verb
