	form_bfm	flp	lemma_bfm	cattex	feats_bfm	lemma_src	file_src_bfm	fl	fp
2528	Nivele	nivele_nivelet_propn	Nivelet	NOMpro	_	BFM	moree-cat	nivele_nivelet	nivele_propn
2529	aquillit	aquillit_accueillir_verb	accueillir	VERcjg	VerbForm=Fin	GDF	roland	aquillit_accueillir	aquillit_verb
2530	endedens	endedens_endedens_adv	endedens	ADVgen	_	GDF	SBath1	endedens_endedens	endedens_adv
2531	déterminée	déterminée_déterminer_verb	déterminer	VERppe	VerbForm=Part|Tense=Past	no_source	Jouvencel1_manual-seg_pos_lem	déterminée_déterminer	déterminée_verb
2532	repuns	repuns_repondre_verb	repondre	VERppe, VERcjg	VerbForm=Part|Tense=Past, VerbForm=Fin	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	repuns_repondre	repuns_verb
2533	parloer	parloer_parloir_noun	parloir	NOMcom	_	DMF	SGenPr1	parloer_parloir	parloer_noun
2534	oreilhes	oreilhes_oreille_noun	oreille	NOMcom	_	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	oreilhes_oreille	oreilhes_noun
2535	aperceuscent	aperceuscent_apercevoir_verb	apercevoir	VERcjg	VerbForm=Fin	DMF	aucassin	aperceuscent_apercevoir	aperceuscent_verb
2536	vij	vij_sept_det	sept	DETcar	NumType=Card	DMF	regcrim1-cat	vij_sept	vij_det
2537	cuist	cuist_cuire_verb	cuire	VERcjg	VerbForm=Fin	DECT	CligesKu, PercevalKu	cuist_cuire	cuist_verb
2538	gaignié	gaignié_gagner_verb	gagner	VERppe	VerbForm=Part|Tense=Past	no_source	grchron_j2c5.tsv, grchron_j2c5_manual-seg_pos_lem, Jouvencel1_manual-seg_pos_lem	gaignié_gagner	gaignié_verb
2539	destornéz	destornéz_détourner_verb	détourner	VERcjg	VerbForm=Fin	DMF	SGenPr1	destornéz_détourner	destornéz_verb
2540	Norfulke	norfulke_norfork_propn	Norfork	NOMpro	_	no_source	DescrEngl_fixed.tsv	norfulke_norfork	norfulke_propn
2541	condui	condui_conduire_verb	conduire	VERcjg	VerbForm=Fin	DECT	PercevalKu	condui_conduire	condui_verb
2542	violetes	violetes_vïolete_noun	vïolete	NOMcom	_	DECT	ErecKu	violetes_vïolete	violetes_noun
2543	restabliz	restabliz_rétablir_verb	rétablir	VERppe	VerbForm=Part|Tense=Past	DMF, no_source	DialGreg2, DialGreg2_manual-seg_pos_lem, DialGreg2_pos_lem.tsv	restabliz_rétablir	restabliz_verb
2544	camois	camois_chamoiz_noun	chamoiz	NOMcom	_	DECT	CligesKu	camois_chamoiz	camois_noun
2545	retrahit	retrahit_retraire_verb	retraire	VERcjg	VerbForm=Fin	no_source	Jouvencel1_manual-seg_pos_lem	retrahit_retraire	retrahit_verb
2546	remoingne	remoingne_remanoir_verb	remanoir	VERcjg	VerbForm=Fin	DECT	YvainKu	remoingne_remanoir	remoingne_verb
2547	beissa	beissa_baisser_verb	baisser	VERcjg	VerbForm=Fin	DMF	SEustPr1	beissa_baisser	beissa_verb
